Variable,Question_Description,Value,Value_Meaning
Q1,How old are you,1,12 years old or younger
Q1,How old are you,2,13 years old
Q1,How old are you,3,14 years old
Q1,How old are you,4,15 years old
Q1,How old are you,5,16 years old
Q1,How old are you,6,17 years old
Q1,How old are you,7,18 years old or older
Q2,What is your sex,1,Female
Q2,What is your sex,2,Male
Q3,In what grade are you,1,9th grade
Q3,In what grade are you,2,10th grade
Q3,In what grade are you,3,11th grade
Q3,In what grade are you,4,12th grade
Q3,In what grade are you,5,Ungraded or other grade
Q4,Are you Hispanic/Latino,1,Yes
Q4,Are you Hispanic/Latino,2,No
Q5,What is your race,,
Q6,How tall are you,,
Q7,How much do you weigh,,
Q8,Seat belt use,1,Never
Q8,Seat belt use,2,Rarely
Q8,Seat belt use,3,Sometimes
Q8,Seat belt use,4,Most of the time
Q8,Seat belt use,5,Always
Q9,Riding with a drinking driver,1,0 times
Q9,Riding with a drinking driver,2,1 time
Q9,Riding with a drinking driver,3,2 or 3 times
Q9,Riding with a drinking driver,4,4 or 5 times
Q9,Riding with a drinking driver,5,6 or more times
Q10,Drinking and driving,1,Did not drive
Q10,Drinking and driving,2,Did not drive when drinking
Q10,Drinking and driving,3,1 time
Q10,Drinking and driving,4,2 or 3 times
Q10,Drinking and driving,5,4 or 5 times
Q10,Drinking and driving,6,6 or more times
Q11,Texting and driving,1,Did not drive
Q11,Texting and driving,2,Did not text while driving
Q11,Texting and driving,3,1 or 2 days
Q11,Texting and driving,4,3 to 5 days
Q11,Texting and driving,5,6 to 9 days
Q11,Texting and driving,6,10 to 19 days
Q11,Texting and driving,7,20 to 29 days
Q11,Texting and driving,8,All 30 days
Q12,Weapon carrying at school,1,0 days
Q12,Weapon carrying at school,2,1 day
Q12,Weapon carrying at school,3,2 or 3 days
Q12,Weapon carrying at school,4,4 or 5 days
Q12,Weapon carrying at school,5,6 or more days
Q13,Gun carrying,1,0 days
Q13,Gun carrying,2,1 day
Q13,Gun carrying,3,2 or 3 days
Q13,Gun carrying,4,4 or 5 days
Q13,Gun carrying,5,6 or more days
Q14,Safety concerns at school,1,0 days
Q14,Safety concerns at school,2,1 day
Q14,Safety concerns at school,3,2 or 3 days
Q14,Safety concerns at school,4,4 or 5 days
Q14,Safety concerns at school,5,6 or more days
Q15,Threatened at school,1,0 times
Q15,Threatened at school,2,1 time
Q15,Threatened at school,3,2 or 3 times
Q15,Threatened at school,4,4 or 5 times
Q15,Threatened at school,5,6 or 7 times
Q15,Threatened at school,6,8 or 9 times
Q15,Threatened at school,7,10 or 11 times
Q15,Threatened at school,8,12 or more times
Q16,Times in fight past 12 months,1,0 times
Q16,Times in fight past 12 months,2,1 time
Q16,Times in fight past 12 months,3,2 or 3 times
Q16,Times in fight past 12 months,4,4 or 5 times
Q16,Times in fight past 12 months,5,6 or 7 times
Q16,Times in fight past 12 months,6,8 or 9 times
Q16,Times in fight past 12 months,7,10 or 11 times
Q16,Times in fight past 12 months,8,12 or more times
Q17,Physical fighting at school,1,0 times
Q17,Physical fighting at school,2,1 time
Q17,Physical fighting at school,3,2 or 3 times
Q17,Physical fighting at school,4,4 or 5 times
Q17,Physical fighting at school,5,6 or 7 times
Q17,Physical fighting at school,6,8 or 9 times
Q17,Physical fighting at school,7,10 or 11 times
Q17,Physical fighting at school,8,12 or more times
Q18,Saw physical violence in neighborhood,1,Yes
Q18,Saw physical violence in neighborhood,2,No
Q19,Ever been physically forced sexual intercourse,1,Yes
Q19,Ever been physically forced sexual intercourse,2,No
Q20,Sexual violence,1,0 times
Q20,Sexual violence,2,1 time
Q20,Sexual violence,3,2 or 3 times
Q20,Sexual violence,4,4 or 5 times
Q20,Sexual violence,5,6 or more times
Q21,Sexual dating violence,1,Did not date
Q21,Sexual dating violence,2,0 times
Q21,Sexual dating violence,3,1 time
Q21,Sexual dating violence,4,2 or 3 times
Q21,Sexual dating violence,5,4 or 5 times
Q21,Sexual dating violence,6,6 or more times
Q22,Physical dating violence,1,Did not date
Q22,Physical dating violence,2,0 times
Q22,Physical dating violence,3,1 time
Q22,Physical dating violence,4,2 or 3 times
Q22,Physical dating violence,5,4 or 5 times
Q22,Physical dating violence,6,6 or more times
Q23,treated unfairly in school b/c race/ethnicity,1,Never
Q23,treated unfairly in school b/c race/ethnicity,2,Rarely
Q23,treated unfairly in school b/c race/ethnicity,3,Sometimes
Q23,treated unfairly in school b/c race/ethnicity,4,Most of the time
Q23,treated unfairly in school b/c race/ethnicity,5,Always
Q24,Bullied at school,1,Yes
Q24,Bullied at school,2,No
Q25,Electronic bullying,1,Yes
Q25,Electronic bullying,2,No
Q26,Sad or hopeless,1,Yes
Q26,Sad or hopeless,2,No
Q27,Considered suicide,1,Yes
Q27,Considered suicide,2,No
Q28,Made a suicide plan past 12 months,1,Yes
Q28,Made a suicide plan past 12 months,2,No
Q29,Actually attempted suicide,1,0 times
Q29,Actually attempted suicide,2,1 time
Q29,Actually attempted suicide,3,2 or 3 times
Q29,Actually attempted suicide,4,4 or 5 times
Q29,Actually attempted suicide,5,6 or more times
Q30,Injurious suicide attempt,1,Did not attempt suicide
Q30,Injurious suicide attempt,2,Yes
Q30,Injurious suicide attempt,3,No
Q31,Ever cigarette use,1,Yes
Q31,Ever cigarette use,2,No
Q32,Initiation of cigarette smoking,1,Never smoked a cigarette
Q32,Initiation of cigarette smoking,2,8 years old or younger
Q32,Initiation of cigarette smoking,3,9 or 10 years old
Q32,Initiation of cigarette smoking,4,11 or 12 years old
Q32,Initiation of cigarette smoking,5,13 or 14 years old
Q32,Initiation of cigarette smoking,6,15 or 16 years old
Q32,Initiation of cigarette smoking,7,17 years old or older
Q33,Current cigarette use,1,0 days
Q33,Current cigarette use,2,1 or 2 days
Q33,Current cigarette use,3,3 to 5 days
Q33,Current cigarette use,4,6 to 9 days
Q33,Current cigarette use,5,10 to 19 days
Q33,Current cigarette use,6,20 to 29 days
Q33,Current cigarette use,7,All 30 days
Q34,Smoked >10 cigarettes,1,Did not smoke cigarettes
Q34,Smoked >10 cigarettes,2,Less than 1 cigarette
Q34,Smoked >10 cigarettes,3,1 cigarette
Q34,Smoked >10 cigarettes,4,2 to 5 cigarettes
Q34,Smoked >10 cigarettes,5,6 to 10 cigarettes
Q34,Smoked >10 cigarettes,6,11 to 20 cigarettes
Q34,Smoked >10 cigarettes,7,More than 20 cigarettes
Q35,Electronic vapor product use,1,Yes
Q35,Electronic vapor product use,2,No
Q36,Current electronic vapor product use,1,0 days
Q36,Current electronic vapor product use,2,1 or 2 days
Q36,Current electronic vapor product use,3,3 to 5 days
Q36,Current electronic vapor product use,4,6 to 9 days
Q36,Current electronic vapor product use,5,10 to 19 days
Q36,Current electronic vapor product use,6,20 to 29 days
Q36,Current electronic vapor product use,7,All 30 days
Q37,EVP from store,1,Did not use EVP
Q37,EVP from store,2,Friend or family
Q37,EVP from store,3,Vape shop or tobacco shop
Q37,EVP from store,4,Store or gas station
Q37,EVP from store,5,Mall kiosk or stand
Q37,EVP from store,6,Internet
Q37,EVP from store,7,Took from a store
Q37,EVP from store,8,Some other way
Q38,Current smokeless tobacco use,1,0 days
Q38,Current smokeless tobacco use,2,1 or 2 days
Q38,Current smokeless tobacco use,3,3 to 5 days
Q38,Current smokeless tobacco use,4,6 to 9 days
Q38,Current smokeless tobacco use,5,10 to 19 days
Q38,Current smokeless tobacco use,6,20 to 29 days
Q38,Current smokeless tobacco use,7,All 30 days
Q39,Current cigar use,1,0 days
Q39,Current cigar use,2,1 or 2 days
Q39,Current cigar use,3,3 to 5 days
Q39,Current cigar use,4,6 to 9 days
Q39,Current cigar use,5,10 to 19 days
Q39,Current cigar use,6,20 to 29 days
Q39,Current cigar use,7,All 30 days
Q40,All tobacco product cessation,1,Did not use tobacco products
Q40,All tobacco product cessation,2,Yes
Q40,All tobacco product cessation,3,No
Q41,Initiation of alcohol use,1,Never drank alcohol
Q41,Initiation of alcohol use,2,8 years old or younger
Q41,Initiation of alcohol use,3,9 or 10 years old
Q41,Initiation of alcohol use,4,11 or 12 years old
Q41,Initiation of alcohol use,5,13 or 14 years old
Q41,Initiation of alcohol use,6,15 or 16 years old
Q41,Initiation of alcohol use,7,17 years old or older
Q42,Current alcohol use,1,0 days
Q42,Current alcohol use,2,1 or 2 days
Q42,Current alcohol use,3,3 to 5 days
Q42,Current alcohol use,4,6 to 9 days
Q42,Current alcohol use,5,10 to 19 days
Q42,Current alcohol use,6,20 to 29 days
Q42,Current alcohol use,7,All 30 days
Q43,Current binge drinking,1,0 days
Q43,Current binge drinking,2,1 day
Q43,Current binge drinking,3,2 days
Q43,Current binge drinking,4,3 to 5 days
Q43,Current binge drinking,5,6 to 9 days
Q43,Current binge drinking,6,10 to 19 days
Q43,Current binge drinking,7,20 or more days
Q44,Drinks in a row past 30 days,1,Did not drink in past 30 days
Q44,Drinks in a row past 30 days,2,1 or 2 drinks
