Feature,Importance
feel_hopeless,0.06084119
social_risk,0.04942668
ADHD,0.03521506
hours_of_sleep,0.032077335
sleep_place,0.025771797
neighborhood_violence,0.024831597
school_stress_score,0.024768848
parent_monitoring,0.021531079
health_risk,0.021185085
school_fight_count,0.020366836
parent_emotional_abuse,0.019970078
fight_count,0.019460376
school_violence_index,0.019134596
incarcerated_parent,0.018109284
social_media,0.01738289
school_bullying,0.017313931
gender,0.017226567
parent_uses_alcohol,0.017119065
unfair_discipline_school,0.016828157
school_safety_concern,0.016758947
environmental_violence,0.01647003
parent_mental_illness,0.016321331
mental_adhd_interaction,0.015994674
family_protective_score,0.015247765
age_squared,0.015035294
adolescent_risk,0.014959307
violence_exposure_score,0.014822174
age,0.014770716
bullying_exposure,0.014744104
social_violence_link,0.014647086
sleep_exercise_interaction,0.014422275
mental_health,0.014375143
exercise,0.0143523
health_substance_risk,0.014270687
drinking_in_a_row,0.013799285
cyber_bullying,0.013797134
parent_physical_abuse,0.013687728
personal_violence,0.013672198
first_alcohol,0.013604745
school_racism,0.0134562105
health_score,0.013149396
alcohol_progression,0.013006603
peer_support,0.012937718
sexual_violence,0.01285483
have_friend,0.0125018805
social_engagement,0.012306053
threatened_at_school,0.012256535
alcohol_frequency,0.012227114
education_level,0.012127843
hardcore_alcohol_frequency,0.0118185785
family_school_stress,0.011788117
high_alcohol_use,0.01140055
parent_abuse_parent,0.011379291
alcohol_exposure,0.01115319
ride_drinking_driver,0.011023524
family_adversity_score,0.011008394
family_risk_ratio,0.010454958
considered_suicide,0.008835784
